head_entity,head_type,relation,tail_type,tail_entity
45,paper,use,method,卷积神经网络
45,paper,focus,problems,图像分割
图像分割,problems,solve,method,卷积神经网络
46,paper,focus,problems,行人再识别
47,paper,use,method,RGB-T
47,paper,focus,problems,目标检测
目标检测,problems,solve,method,RGB-T
48,paper,use,method,注意力网络
48,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,注意力网络
49,paper,use,method,注意力网络
49,paper,focus,problems,图像分割
图像分割,problems,solve,method,注意力网络
50,paper,use,method,Faster R-CNN
50,paper,focus,problems,目标检测
目标检测,problems,solve,method,Faster R-CNN
51,paper,use,method,Mask R-CNN
51,paper,focus,problems,海洋锋检测
海洋锋检测,problems,solve,method,Mask R-CNN
52,paper,use,method,R-FCN
52,paper,focus,problems,行人检测
行人检测,problems,solve,method,R-FCN
53,paper,use,method,U-Net3+
53,paper,use,method,跨模态注意力块
53,paper,focus,problems,图像融合
图像融合,problems,solve,method,U-Net3+
图像融合,problems,solve,method,跨模态注意力块
54,paper,use,method,U-Net
54,paper,focus,problems,遥感图像道路提取
遥感图像道路提取,problems,solve,method,U-Net
55,paper,use,method,U-Net
55,paper,focus,problems,自动分割
自动分割,problems,solve,method,U-Net
56,paper,use,method,残差网络
56,paper,use,method,超限学习机
56,paper,focus,problems,物体识别
物体识别,problems,solve,method,残差网络
物体识别,problems,solve,method,超限学习机
57,paper,use,method,卷积神经网络
57,paper,focus,problems,表情识别
表情识别,problems,solve,method,卷积神经网络
58,paper,use,method,注意力机制
58,paper,focus,problems,图像建筑物分割
图像建筑物分割,problems,solve,method,注意力机制
59,paper,focus,problems,图像分组融合
59,paper,use,method,Transformer
图像分组融合,problems,solve,method,Transformer
60,paper,use,method,半监督对抗学习
60,paper,focus,problems,语义分割
语义分割,problems,solve,method,半监督对抗学习
61,paper,use,method,对抗网络
61,paper,focus,problems,图像识别
图像识别,problems,solve,method,对抗网络
62,paper,use,method,生成式对抗网络
62,paper,focus,problems,图像修复
图像修复,problems,solve,method,生成式对抗网络
63,paper,use,method,K-means全局信息聚类
63,paper,focus,problems,图像分类
图像分类,problems,solve,method,K-means全局信息聚类
64,paper,focus,problems,检索
65,paper,focus,problems,目标检测
66,paper,use,method,Deeplab
66,paper,focus,problems,影像海岛岸线分割
影像海岛岸线分割,problems,solve,method,Deeplab
67,paper,focus,problems,超分辨率
67,paper,use,method,Transformer
超分辨率,problems,solve,method,Transformer
68,paper,use,method,对抗式扩张卷积
68,paper,focus,problems,密度估计
密度估计,problems,solve,method,对抗式扩张卷积
69,paper,focus,problems,图像融合
70,paper,focus,problems,超分辨率
71,paper,use,method,注意力机制
71,paper,use,method,扩张卷积
71,paper,focus,problems,道路提取
道路提取,problems,solve,method,注意力机制
道路提取,problems,solve,method,扩张卷积
72,paper,use,method,图注意力网络
72,paper,focus,problems,新冠肺炎轻重症诊断
新冠肺炎轻重症诊断,problems,solve,method,图注意力网络
73,paper,use,method,BiLSTM
73,paper,use,method,注意力机制
73,paper,focus,problems,行人再识别
行人再识别,problems,solve,method,BiLSTM
行人再识别,problems,solve,method,注意力机制
74,paper,use,method,GAN
74,paper,focus,problems,车牌识别
车牌识别,problems,solve,method,GAN
75,paper,use,method,KSW
75,paper,use,method,FCNN
75,paper,focus,problems,场景分割
场景分割,problems,solve,method,KSW
场景分割,problems,solve,method,FCNN
76,paper,use,method,Transformer
76,paper,focus,problems,检索
检索,problems,solve,method,Transformer
77,paper,use,method,倒置特征金字塔
77,paper,use,method,U-Net
77,paper,focus,problems,图像分类
图像分类,problems,solve,method,倒置特征金字塔
图像分类,problems,solve,method,U-Net
78,paper,use,method,动态图卷积
78,paper,use,method,空间注意力
78,paper,focus,problems,分类与分割
分类与分割,problems,solve,method,动态图卷积
分类与分割,problems,solve,method,空间注意力
79,paper,use,method,生成对抗网络
79,paper,focus,problems,井下轨道检测
井下轨道检测,problems,solve,method,生成对抗网络
井下轨道检测,problems,solve,method,生成对抗网络
80,paper,use,method,分段频域
80,paper,use,method,局部注意力
80,paper,focus,problems,超声甲状腺分割
超声甲状腺分割,problems,solve,method,分段频域
超声甲状腺分割,problems,solve,method,局部注意力
81,paper,use,method,Deeplab v3+
81,paper,focus,problems,水岸线检测
水岸线检测,problems,solve,method,Deeplab v3+
82,paper,use,method,卷积神经网络
82,paper,focus,problems,表情识别
表情识别,problems,solve,method,卷积神经网络
83,paper,use,method,RPN网络
83,paper,focus,problems,火焰检测
火焰检测,problems,solve,method,RPN网络
84,paper,use,method,混沌鸟群算法
84,paper,focus,problems,缺陷检测
缺陷检测,problems,solve,method,混沌鸟群算法
85,paper,use,method,混合域注意力
85,paper,use,method,空洞卷积
85,paper,focus,problems,目标检测
目标检测,problems,solve,method,混合域注意力
目标检测,problems,solve,method,空洞卷积
86,paper,use,method,矩阵分解
86,paper,use,method,差分隐私
86,paper,focus,problems,图像发布
图像发布,problems,solve,method,矩阵分解
图像发布,problems,solve,method,差分隐私
87,paper,use,method,空间深度卷积
87,paper,use,method,残差
87,paper,focus,problems,场景分割
场景分割,problems,solve,method,空间深度卷积
场景分割,problems,solve,method,残差
88,paper,use,method,连续卷积算子
88,paper,focus,problems,目标跟踪
目标跟踪,problems,solve,method,连续卷积算子
89,paper,use,method,孪生网络
89,paper,focus,problems,异常检测
异常检测,problems,solve,method,孪生网络
90,paper,use,method,门循环单元
90,paper,use,method,生成对抗网络
90,paper,focus,problems,图像文字去除
图像文字去除,problems,solve,method,门循环单元
图像文字去除,problems,solve,method,生成对抗网络
91,paper,use,method,迁移学习
91,paper,focus,problems,指纹分类
指纹分类,problems,solve,method,迁移学习
92,paper,use,method,HTM
92,paper,focus,problems,去除遥感影像云雾
去除遥感影像云雾,problems,solve,method,HTM
93,paper,use,method,全卷积网络
93,paper,use,method,CycleGAN
93,paper,focus,problems,图像实例风格迁移
图像实例风格迁移,problems,solve,method,全卷积网络
图像实例风格迁移,problems,solve,method,CycleGAN
94,paper,use,method,CNN
94,paper,focus,problems,语义分割
语义分割,problems,solve,method,CNN
95,paper,use,method,半监督学习
95,paper,focus,problems,影像分类
影像分类,problems,solve,method,半监督学习
96,paper,focus,problems,检索
97,paper,use,method,支持向量机
97,paper,focus,problems,零件识别
零件识别,problems,solve,method,支持向量机
98,paper,use,method,孪生网络
98,paper,focus,problems,目标跟踪
目标跟踪,problems,solve,method,孪生网络
99,paper,use,method,双视觉全卷积网络
99,paper,focus,problems,地物提取
地物提取,problems,solve,method,双视觉全卷积网络
100,paper,use,method,双注意力机制
100,paper,focus,problems,裂缝检测
裂缝检测,problems,solve,method,双注意力机制
101,paper,use,method,特征图切分
101,paper,focus,problems,语义分割
语义分割,problems,solve,method,特征图切分
102,paper,use,method,稀疏表示
102,paper,focus,problems,姿态估计
姿态估计,problems,solve,method,稀疏表示
103,paper,use,method,深度卷积网络
103,paper,focus,problems,检索
检索,problems,solve,method,深度卷积网络
104,paper,use,method,视觉注意机制
104,paper,focus,problems,前景检测
前景检测,problems,solve,method,视觉注意机制
105,paper,use,method,注意力机制
105,paper,focus,problems,超声分类
超声分类,problems,solve,method,注意力机制
106,paper,use,method,注意力机制
106,paper,focus,problems,语义分割
语义分割,problems,solve,method,注意力机制
107,paper,use,method,注意力机制
107,paper,focus,problems,行人再识别
行人再识别,problems,solve,method,注意力机制
108,paper,use,method,姿态估计
108,paper,use,method,时序分段网络
108,paper,focus,problems,动作识别
动作识别,problems,solve,method,姿态估计
动作识别,problems,solve,method,时序分段网络
109,paper,use,method,注意力机制
109,paper,use,method,记忆网络
109,paper,focus,problems,问答模型
问答模型,problems,solve,method,注意力机制
问答模型,problems,solve,method,记忆网络
110,paper,use,method,自监督学习
110,paper,use,method,生成对抗网络
110,paper,focus,problems,人脸属性识别
人脸属性识别,problems,solve,method,自监督学习
人脸属性识别,problems,solve,method,生成对抗网络
111,paper,use,method,双目视差回归
111,paper,focus,problems,目标距离估计
目标距离估计,problems,solve,method,双目视差回归
112,paper,use,method,卷积神经网络
112,paper,focus,problems,人脸隐私保护识别
人脸隐私保护识别,problems,solve,method,卷积神经网络
113,paper,use,method,卷积神经网络
113,paper,focus,problems,掌纹识别
掌纹识别,problems,solve,method,卷积神经网络
114,paper,use,method,NTS-Net
114,paper,focus,problems,多标签分类
多标签分类,problems,solve,method,NTS-Net
115,paper,use,method,深度网络
115,paper,focus,problems,图像融合
图像融合,problems,solve,method,深度网络
116,paper,use,method,可分离卷积
116,paper,use,method,注意力机制
116,paper,focus,problems,语义分割
语义分割,problems,solve,method,可分离卷积
语义分割,problems,solve,method,注意力机制
117,paper,use,method,通道注意力
117,paper,focus,problems,图像重建
图像重建,problems,solve,method,通道注意力
118,paper,use,method,协同自编码器
118,paper,focus,problems,异常检测
异常检测,problems,solve,method,协同自编码器
119,paper,use,method,生成对抗网络
119,paper,focus,problems,重聚焦
重聚焦,problems,solve,method,生成对抗网络
120,paper,use,method,图卷积
120,paper,focus,problems,烟雾检测
烟雾检测,problems,solve,method,图卷积
121,paper,use,method,多任务学习
121,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,多任务学习
122,paper,use,method,形态学滤波
122,paper,use,method,卷积稀疏编码
122,paper,focus,problems,图像去雨
图像去雨,problems,solve,method,形态学滤波
图像去雨,problems,solve,method,卷积稀疏编码
123,paper,use,method,语义分割
123,paper,use,method,边缘重建
123,paper,focus,problems,图像修复
图像修复,problems,solve,method,语义分割
图像修复,problems,solve,method,边缘重建
124,paper,use,method,卷积神经网络
124,paper,focus,problems,人脸检测
人脸检测,problems,solve,method,卷积神经网络
125,paper,use,method,两阶段特征提取策略
125,paper,focus,problems,图像去雾
图像去雾,problems,solve,method,两阶段特征提取策略
126,paper,use,method,流形正则化
126,paper,focus,problems,语义分割
语义分割,problems,solve,method,流形正则化
127,paper,use,method,流形正则化
127,paper,focus,problems,语义分割
语义分割,problems,solve,method,流形正则化
128,paper,use,method,RPN
128,paper,focus,problems,目标跟踪
目标跟踪,problems,solve,method,RPN
129,paper,use,method,密集连接卷积
129,paper,focus,problems,图像去模糊
图像去模糊,problems,solve,method,密集连接卷积
130,paper,focus,problems,人脸识别
130,paper,use,method,正面化形变场学习
人脸识别,problems,solve,method,正面化形变场学习
131,paper,use,method,非对称特征注意力
131,paper,focus,problems,图像检测
图像检测,problems,solve,method,非对称特征注意力
132,paper,focus,problems,图像分类
132,paper,use,method,卷积深度网络
图像分类,problems,solve,method,卷积深度网络
133,paper,focus,problems,行人重识别
133,paper,use,method,单模态自监督
行人重识别,problems,solve,method,单模态自监督
134,paper,focus,problems,图像分割
134,paper,use,method,U-Net
图像分割,problems,solve,method,U-Net
135,paper,focus,problems,目标检测
135,paper,use,method,退化特征增强
目标检测,problems,solve,method,退化特征增强
136,paper,focus,problems,图像修复
136,paper,use,method,增强语义双解码器生成
图像修复,problems,solve,method,增强语义双解码器生成
137,paper,use,method,级联优化CNN
137,paper,focus,problems,质量评估
质量评估,problems,solve,method,级联优化CNN
138,paper,use,method,卷积稀疏
138,paper,use,method,细节显著图解析
138,paper,focus,problems,图像融合
图像融合,problems,solve,method,卷积稀疏
图像融合,problems,solve,method,细节显著图解析
139,paper,use,method,迁移学习
139,paper,focus,problems,图像分类
图像分类,problems,solve,method,迁移学习
140,paper,use,method,Transformer
140,paper,focus,problems,点云补全
点云补全,problems,solve,method,Transformer
141,paper,focus,problems,图像聚类
142,paper,use,method,卷积块注意力
142,paper,focus,problems,姿态分类
姿态分类,problems,solve,method,卷积块注意力
143,paper,use,method,Faster R-CNN
143,paper,focus,problems,缺陷检测
缺陷检测,problems,solve,method,Faster R-CNN
144,paper,use,method,强化学习
144,paper,focus,problems,自动驾驶
自动驾驶,problems,solve,method,强化学习
自动驾驶,problems,solve,method,强化学习
145,paper,use,method,注意力
145,paper,use,method,循环网络
145,paper,focus,problems,超分重建
超分重建,problems,solve,method,注意力
超分重建,problems,solve,method,循环网络
146,paper,use,method,注意力
146,paper,use,method,对齐网络
146,paper,focus,problems,超分重建
超分重建,problems,solve,method,注意力
超分重建,problems,solve,method,对齐网络
147,paper,use,method,通道注意力
147,paper,focus,problems,超分辨率重建
超分辨率重建,problems,solve,method,通道注意力
148,paper,use,method,注意力
148,paper,use,method,残差记忆网络
148,paper,focus,problems,超分重建
超分重建,problems,solve,method,注意力
超分重建,problems,solve,method,残差记忆网络
149,paper,use,method,全卷积神经网络
149,paper,focus,problems,影像分割
影像分割,problems,solve,method,全卷积神经网络
150,paper,use,method,全卷积网络
150,paper,focus,problems,电线识别
电线识别,problems,solve,method,全卷积网络
151,paper,use,method,全卷积
151,paper,focus,problems,语义分割
语义分割,problems,solve,method,全卷积
语义分割,problems,solve,method,全卷积
151,paper,focus,problems,物体检测
语义分割,problems,solve,method,全卷积
物体检测,problems,solve,method,全卷积
152,paper,use,method,自编码器
152,paper,use,method,one-class SVM
152,paper,focus,problems,异常事件检测
异常事件检测,problems,solve,method,自编码器
异常事件检测,problems,solve,method,one-class SVM
153,paper,use,method,3D注意力
153,paper,use,method,Transformer
153,paper,focus,problems,图像去雨
图像去雨,problems,solve,method,3D注意力
图像去雨,problems,solve,method,Transformer
154,paper,use,method,GF-MSRCR
154,paper,focus,problems,图像去雾
图像去雾,problems,solve,method,GF-MSRCR
155,paper,use,method,双注意力
155,paper,focus,problems,目标检测
目标检测,problems,solve,method,双注意力
156,paper,use,method,多头注意力机制
156,paper,focus,problems,诊断与分割
诊断与分割,problems,solve,method,多头注意力机制
157,paper,use,method,多重注意力机制
157,paper,focus,problems,注视点预测
注视点预测,problems,solve,method,多重注意力机制
158,paper,use,method,YOLOv4
158,paper,focus,problems,安全帽佩戴检测
安全帽佩戴检测,problems,solve,method,YOLOv4
159,paper,use,method,跨阶段深度学习
159,paper,focus,problems,图像分割
图像分割,problems,solve,method,跨阶段深度学习
160,paper,use,method,集成超限学习机
160,paper,focus,problems,图像分类
图像分类,problems,solve,method,集成超限学习机
161,paper,use,method,生成对抗网络
161,paper,focus,problems,异常检测
异常检测,problems,solve,method,生成对抗网络
162,paper,use,method,密集残差块
162,paper,use,method,GAN
162,paper,focus,problems,配准
配准,problems,solve,method,密集残差块
配准,problems,solve,method,GAN
163,paper,use,method,卷积神经网络
163,paper,focus,problems,点云分析
点云分析,problems,solve,method,卷积神经网络
164,paper,use,method,多核增强学习
164,paper,focus,problems,目标检测
目标检测,problems,solve,method,多核增强学习
165,paper,focus,problems,碰撞检测
166,paper,use,method,时空图卷积
166,paper,focus,problems,行为识别
行为识别,problems,solve,method,时空图卷积
167,paper,use,method,自注意力机制
167,paper,focus,problems,目标分割
目标分割,problems,solve,method,自注意力机制
168,paper,use,method,U-Net
168,paper,focus,problems,分割
分割,problems,solve,method,U-Net
169,paper,use,method,稀疏注意力
169,paper,use,method,实例增强
169,paper,focus,problems,点云分割
点云分割,problems,solve,method,稀疏注意力
点云分割,problems,solve,method,实例增强
170,paper,use,method,UNet++
170,paper,focus,problems,边缘检测
边缘检测,problems,solve,method,UNet++
171,paper,use,method,Transformer
171,paper,focus,problems,问答
问答,problems,solve,method,Transformer
172,paper,use,method,注意力机制
172,paper,focus,problems,图像增强
图像增强,problems,solve,method,注意力机制
173,paper,use,method,注意力机制
173,paper,use,method,特征金字塔网络
173,paper,focus,problems,检测
检测,problems,solve,method,注意力机制
检测,problems,solve,method,特征金字塔网络
174,paper,use,method,注意力机制
174,paper,use,method,可变形卷积
174,paper,focus,problems,检测
检测,problems,solve,method,注意力机制
检测,problems,solve,method,可变形卷积
175,paper,use,method,生成对抗网络
175,paper,focus,problems,步态识别
步态识别,problems,solve,method,生成对抗网络
176,paper,use,method,深度卷积神经
176,paper,focus,problems,语义分割
语义分割,problems,solve,method,深度卷积神经
177,paper,use,method,深度卷积网络
177,paper,focus,problems,目标检测
目标检测,problems,solve,method,深度卷积网络
178,paper,use,method,时空图卷积网络
178,paper,use,method,注意机制
178,paper,focus,problems,目标分割
目标分割,problems,solve,method,时空图卷积网络
目标分割,problems,solve,method,注意机制
179,paper,use,method,Transformer
179,paper,focus,problems,检测
检测,problems,solve,method,Transformer
180,paper,use,method,卷积神经网络
180,paper,focus,problems,语义分割
语义分割,problems,solve,method,卷积神经网络
181,paper,use,method,3D-CNN
181,paper,focus,problems,影像分类
影像分类,problems,solve,method,3D-CNN
182,paper,use,method,三维卷积网络
182,paper,focus,problems,行为识别
行为识别,problems,solve,method,三维卷积网络
183,paper,use,method,字典学习
183,paper,use,method,PCNN
183,paper,focus,problems,图像融合
图像融合,problems,solve,method,字典学习
图像融合,problems,solve,method,PCNN
184,paper,use,method,金字塔结构
184,paper,focus,problems,行为识别
行为识别,problems,solve,method,金字塔结构
185,paper,use,method,生成对抗网络
185,paper,focus,problems,图像增强
图像增强,problems,solve,method,生成对抗网络
186,paper,use,method,生成对抗
186,paper,focus,problems,融合
融合,problems,solve,method,生成对抗
187,paper,use,method,RGB-D
187,paper,focus,problems,点云配准
点云配准,problems,solve,method,RGB-D
188,paper,use,method,3D卷积神经网络
188,paper,use,method,注意力机制
188,paper,focus,problems,疲劳驾驶检测
疲劳驾驶检测,problems,solve,method,3D卷积神经网络
疲劳驾驶检测,problems,solve,method,注意力机制
189,paper,focus,problems,图像分类
189,paper,use,method,变维卷积神经网络
图像分类,problems,solve,method,变维卷积神经网络
190,paper,focus,problems,图像分类
190,paper,use,method,互补注意力
图像分类,problems,solve,method,互补注意力
191,paper,use,method,RGB-D
191,paper,focus,problems,物体检测
物体检测,problems,solve,method,RGB-D
192,paper,use,method,PCNN
192,paper,focus,problems,图像融合
图像融合,problems,solve,method,PCNN
193,paper,use,method,选择性卷积特征融合
193,paper,focus,problems,图像分类
图像分类,problems,solve,method,选择性卷积特征融合
194,paper,focus,problems,行为识别
194,paper,use,method,注意力机制
行为识别,problems,solve,method,注意力机制
195,paper,use,method,图注意力网络
195,paper,focus,problems,图像生成
图像生成,problems,solve,method,图注意力网络
196,paper,use,method,注意金字塔
196,paper,focus,problems,目标分割
目标分割,problems,solve,method,注意金字塔
197,paper,use,method,信息蒸馏
197,paper,focus,problems,超分辨率网络
超分辨率网络,problems,solve,method,信息蒸馏
198,paper,use,method,注意力机制
198,paper,use,method,卷积神经网络
198,paper,focus,problems,目标检测
目标检测,problems,solve,method,注意力机制
目标检测,problems,solve,method,卷积神经网络
199,paper,use,method,注意力机制
199,paper,use,method,SSD模型
199,paper,focus,problems,目标检测
目标检测,problems,solve,method,注意力机制
目标检测,problems,solve,method,SSD模型
200,paper,use,method,注意力机制
200,paper,use,method,密集空洞卷积
200,paper,focus,problems,图像分割
图像分割,problems,solve,method,注意力机制
图像分割,problems,solve,method,密集空洞卷积
201,paper,use,method,注意力
201,paper,focus,problems,目标检测
目标检测,problems,solve,method,注意力
202,paper,use,method,自适应卷积
202,paper,use,method,残差修正
202,paper,focus,problems,图像去雨
图像去雨,problems,solve,method,自适应卷积
图像去雨,problems,solve,method,残差修正
203,paper,use,method,二元序列标注
203,paper,focus,problems,三元组抽取
三元组抽取,problems,solve,method,二元序列标注
204,paper,use,method,DistillBIGRU
204,paper,use,method,知识蒸馏
204,paper,focus,problems,文本分类
文本分类,problems,solve,method,DistillBIGRU
文本分类,problems,solve,method,知识蒸馏
205,paper,use,method,PRBDN
205,paper,use,method,预训练
205,paper,focus,problems,情感分类
情感分类,problems,solve,method,PRBDN
情感分类,problems,solve,method,预训练
206,paper,use,method,RAVA
206,paper,use,method,强化关联
206,paper,focus,problems,事件分拨
事件分拨,problems,solve,method,RAVA
事件分拨,problems,solve,method,强化关联
207,paper,use,method,ResNet
207,paper,use,method,BiGRU
207,paper,focus,problems,关系抽取
关系抽取,problems,solve,method,ResNet
关系抽取,problems,solve,method,BiGRU
208,paper,use,method,层级图结构
208,paper,use,method,文本注意力机制
208,paper,focus,problems,阅读理解
阅读理解,problems,solve,method,层级图结构
阅读理解,problems,solve,method,文本注意力机制
209,paper,use,method,U-Net
209,paper,focus,problems,阅读理解
阅读理解,problems,solve,method,U-Net
210,paper,use,method,Transformer
210,paper,focus,problems,推荐
推荐,problems,solve,method,Transformer
211,paper,use,method,多类型注意力
211,paper,focus,problems,文本分类
文本分类,problems,solve,method,多类型注意力
212,paper,use,method,ACNNC
212,paper,focus,problems,分词方法
分词方法,problems,solve,method,ACNNC
213,paper,use,method,BERTCA
213,paper,focus,problems,语义相关度计算
语义相关度计算,problems,solve,method,BERTCA
214,paper,use,method,BERT-RCNN
214,paper,focus,problems,违规评论识别
违规评论识别,problems,solve,method,BERT-RCNN
215,paper,use,method,BERT
215,paper,focus,problems,命名实体识别
命名实体识别,problems,solve,method,BERT
216,paper,use,method,BERT
216,paper,focus,problems,事件抽取
事件抽取,problems,solve,method,BERT
217,paper,use,method,BERT
217,paper,focus,problems,古文断句
古文断句,problems,solve,method,BERT
218,paper,focus,problems,事件论元抽取
219,paper,use,method,BERT
219,paper,use,method,柱搜索
219,paper,focus,problems,释义生成
释义生成,problems,solve,method,BERT
释义生成,problems,solve,method,柱搜索
220,paper,use,method,Beta分布
220,paper,use,method,半监督学习
220,paper,focus,problems,知识图谱嵌入
知识图谱嵌入,problems,solve,method,Beta分布
知识图谱嵌入,problems,solve,method,半监督学习
221,paper,use,method,Bi-GRU并包含注意力机制
221,paper,focus,problems,真值发现
真值发现,problems,solve,method,Bi-GRU并包含注意力机制
222,paper,use,method,BiLSTM-CRF
222,paper,focus,problems,自动断句
自动断句,problems,solve,method,BiLSTM-CRF
222,paper,focus,problems,词法分析
自动断句,problems,solve,method,BiLSTM-CRF
词法分析,problems,solve,method,BiLSTM-CRF
223,paper,use,method,BiLSTM-CRF
223,paper,focus,problems,突发事件研判
突发事件研判,problems,solve,method,BiLSTM-CRF
224,paper,use,method,Bi-LSTM-CRF
224,paper,focus,problems,词干提取
词干提取,problems,solve,method,Bi-LSTM-CRF
225,paper,use,method,CNN-CorrNet
225,paper,focus,problems,句对抽取
句对抽取,problems,solve,method,CNN-CorrNet
226,paper,use,method,CNN-CTC
226,paper,focus,problems,语音识别
语音识别,problems,solve,method,CNN-CTC
227,paper,use,method,CWHC-AM
227,paper,focus,problems,联合抽取
联合抽取,problems,solve,method,CWHC-AM
228,paper,use,method,DPCNN
228,paper,use,method,语句特征融合
228,paper,focus,problems,关系自动识别
关系自动识别,problems,solve,method,DPCNN
关系自动识别,problems,solve,method,语句特征融合
229,paper,use,method,Q2SM
229,paper,use,method,BERT
229,paper,focus,problems,任务型对话
任务型对话,problems,solve,method,Q2SM
任务型对话,problems,solve,method,BERT
230,paper,use,method,Transformer-CRF
230,paper,focus,problems,机器翻译
机器翻译,problems,solve,method,Transformer-CRF
